Fighter,W/L,Opponent,Knockdowns,Strikes,Takedowns,SubmissionAttempts,Event,Method,Round,Date
Miguel Linares,loss,Anthony Figueroa,"0
","14
","0
","0
","Strikeforce - Playboy Mansion
          


          
          Sep. 29, 2007","KO/TKO
",1,2:09
Miguel Linares,loss,Jose Palacios,"--
","--
","--
","--
","Strikeforce - Young Guns
          


          
          Feb. 10, 2007",U-DEC,3,3:00
Emiliano Linares,loss,Jack Jenkins,"0
","17
","0
","0
","DWCS 6.10
          


          
          Sep. 27, 2022","KO/TKO
",3,4:30
Matt Lindland,loss,Robbie Lawler,"0
","4
","0
","0
","Strikeforce - Henderson vs. Babalu
          


          
          Dec. 04, 2010","KO/TKO
",1,0:50
Matt Lindland,win,Kevin Casey,"0
","49
","4
","0
","Strikeforce Challengers 8
          


          
          May. 21, 2010","KO/TKO
",3,3:41
Matt Lindland,loss,Jacare Souza,"0
","2
","1
","0
","Strikeforce - Evolution
          


          
          Dec. 19, 2009","SUB
",1,4:18
Matt Lindland,loss,Vitor Belfort,"0
","1
","0
","0
","Affliction - Day of Reckoning
          


          
          Jan. 24, 2009","KO/TKO
",1,0:37
Matt Lindland,win,Fabio Nascimento,"1
","76
","1
","1
","Affliction - Banned
          


          
          Jul. 19, 2008",U-DEC,3,5:00
Matt Lindland,loss,Fedor Emelianenko,"0
","3
","0
","0
","BodogFight - Clash of Nations
          


          
          Apr. 14, 2007","SUB
",1,2:58
Matt Lindland,loss,Quinton Jackson,"0
","21
","1
","5
","WFA - King of the Streets
          


          
          Jul. 22, 2006",S-DEC,3,5:00
Matt Lindland,win,Joe Doerksen,"0
","19
","4
","4
","UFC 54: Boiling Point
          


          
          Aug. 20, 2005",U-DEC,3,5:00
Matt Lindland,win,Travis Lutter,"0
","11
","2
","1
","UFC 52: Couture vs Liddell 2
          


          
          Apr. 16, 2005","SUB
",2,3:13
Matt Lindland,loss,David Terrell,"0
","0
","0
","0
","UFC 49: Unfinished Business
          


          
          Aug. 21, 2004","KO/TKO
",1,0:24
Matt Lindland,win,Falaniko Vitale,"0
","35
","1
","1
","UFC 45: Revolution
          


          
          Nov. 21, 2003","KO/TKO
",3,4:23
Matt Lindland,loss,Falaniko Vitale,"0
","2
","0
","0
","UFC 43: Meltdown
          


          
          Jun. 06, 2003","KO/TKO
",1,1:56
Matt Lindland,win,Phil Baroni,"0
","40
","4
","2
","UFC 41: Onslaught
          


          
          Feb. 28, 2003",U-DEC,3,5:00
Matt Lindland,win,Ivan Salaverry,"0
","16
","6
","0
","UFC 39: The Warriors Return
          


          
          Sep. 27, 2002",U-DEC,3,5:00
Matt Lindland,loss,Murilo Bustamante,"0
","35
","0
","1
","UFC 37: High Impact
          



          
          May. 10, 2002","SUB
",3,1:33
Matt Lindland,win,Pat Miletich,"0
","20
","1
","0
","UFC 36: Worlds Collide
          


          
          Mar. 22, 2002","KO/TKO
",1,3:09
Matt Lindland,win,Phil Baroni,"0
","71
","4
","0
","UFC 34: High Voltage
          


          
          Nov. 02, 2001",M-DEC,3,5:00
Matt Lindland,win,Ricardo Almeida,"0
","22
","5
","0
","UFC 31: Locked and Loaded
          


          
          May. 04, 2001",DQ,3,4:21
Matt Lindland,win,Yoji Anjo,"0
","17
","0
","0
","UFC 29: Defense of the Belts
          


          
          Dec. 16, 2000","KO/TKO
",1,2:58
Jake Lindsey,loss,Joe Duffy,"0
","6
","0
","0
","UFC 185: Pettis vs Dos Anjos
          


          
          Mar. 14, 2015","KO/TKO
",1,1:47
Jake Lindsey,loss,Olivier Aubin-Mercier,"0
","24
","1
","0
","UFC Fight Night: MacDonald vs Saffiedine
          


          
          Oct. 04, 2014","SUB
",2,3:22
Jake Lindsey,loss,Jon Tuck,"0
","49
","0
","0
","UFC Fight Night: Henderson vs Khabilov
          


          
          Jun. 07, 2014","KO/TKO
",3,2:47
John Lineker,loss,Cory Sandhagen,"0
","106
","1
","1
","UFC Fight Night: Jacare vs. Hermansson
          


          
          Apr. 27, 2019",S-DEC,3,5:00
John Lineker,win,Brian Kelleher,"2
","102
","0
","1
","UFC 224: Nunes vs. Pennington
          


          
          May. 12, 2018","KO/TKO
",3,3:43
John Lineker,win,Marlon Vera,"0
","77
","0
","0
","UFC Fight Night: Brunson vs. Machida
          


          
          Oct. 28, 2017",U-DEC,3,5:00
John Lineker,loss,TJ Dillashaw,"0
","38
","1
","0
","UFC 207: Nunes vs. Rousey
          


          
          Dec. 30, 2016",U-DEC,3,5:00
John Lineker,win,John Dodson,"0
","93
","0
","0
","UFC Fight Night: Lineker vs. Dodson
          


          
          Oct. 01, 2016",S-DEC,5,5:00
John Lineker,win,Michael McDonald,"2
","26
","0
","0
","UFC Fight Night: McDonald vs. Lineker
          


          
          Jul. 13, 2016","KO/TKO
",1,2:43
John Lineker,win,Rob Font,"0
","80
","1
","0
","UFC 198: Werdum vs Miocic
          


          
          May. 14, 2016",U-DEC,3,5:00
John Lineker,win,Francisco Rivera,"1
","28
","0
","1
","UFC 191: Johnson vs Dodson 2
          


          
          Sep. 05, 2015","SUB
",1,2:08
John Lineker,win,Ian McCall,"0
","38
","0
","3
","UFC 183: Silva vs Diaz
          


          
          Jan. 31, 2015",U-DEC,3,5:00
John Lineker,win,Alptekin Ozkilic,"1
","133
","2
","0
","UFC Fight Night: Cowboy vs Miller
          


          
          Jul. 16, 2014","KO/TKO
",3,4:51
John Lineker,loss,Ali Bagautinov,"0
","27
","0
","2
","UFC 169: Barao vs Faber 2
          


          
          Feb. 01, 2014",U-DEC,3,5:00
John Lineker,win,Phil Harris,"3
","31
","0
","0
","UFC Fight Night: Machida vs Munoz
          


          
          Oct. 26, 2013","KO/TKO
",1,2:51
John Lineker,win,Jose Maria,"0
","22
","2
","0
","UFC 163: Aldo vs Jung
          


          
          Aug. 03, 2013","KO/TKO
",2,1:03
John Lineker,win,Azamat Gashimov,"3
","36
","0
","0
","UFC on FX: Belfort vs. Rockhold
          


          
          May. 18, 2013","KO/TKO
",2,1:07
John Lineker,win,Yasuhiro Urushitani,"0
","77
","0
","0
","UFC Macao: Franklin vs Le
          


          
          Nov. 10, 2012",U-DEC,3,5:00
John Lineker,loss,Louis Gaudinot,"0
","96
","0
","0
","UFC on FOX: Diaz vs Miller
          


          
          May. 05, 2012","SUB
",2,4:54
Austin Lingo,loss,Melquizael Costa,"0
","39
","0
","0
","UFC Fight Night: Holm vs. Bueno Silva
          


          
          Jul. 15, 2023",U-DEC,3,5:00
Austin Lingo,loss,Nate Landwehr,"0
","48
","0
","0
","UFC Fight Night: Vera vs. Sandhagen
          


          
          Mar. 25, 2023","SUB
",2,4:11
Austin Lingo,win,Luis Saldana,"1
","73
","0
","0
","UFC Fight Night: Cannonier vs. Gastelum
          


          
          Aug. 21, 2021",U-DEC,3,5:00
Austin Lingo,win,Jacob Kilburn,"1
","95
","1
","0
","UFC Fight Night: Holloway vs. Kattar
          


          
          Jan. 16, 2021",U-DEC,3,5:00
Austin Lingo,loss,Youssef Zalal,"0
","12
","1
","0
","UFC 247: Jones vs. Reyes
          


          
          Feb. 08, 2020",U-DEC,3,5:00
Lucio Linhares,loss,Yushin Okami,"0
","8
","0
","0
","UFC Fight Night: Florian vs Gomi
          


          
          Mar. 31, 2010",KO/TKO,2,2:47
Lucio Linhares,loss,Rousimar Palhares,"0
","8
","2
","2
","UFC 107: Penn vs Sanchez
          


          
          Dec. 12, 2009","SUB
",2,3:21
Philipe Lins,win,Ion Cutelaba,"0
","67
","2
","0
","UFC 299: O'Malley vs. Vera 2
          


          
          Mar. 09, 2024",U-DEC,3,5:00
Philipe Lins,win,Maxim Grishin,"0
","45
","1
","0
","UFC Fight Night: Kara-France vs. Albazi
          


          
          Jun. 03, 2023",U-DEC,3,5:00
Philipe Lins,win,Ovince Saint Preux,"1
","18
","0
","0
","UFC Fight Night: Andrade vs. Blanchfield
          


          
          Feb. 18, 2023","KO/TKO
",1,0:49
Philipe Lins,win,Marcin Prachnio,"0
","64
","4
","0
","UFC Fight Night: Lemos vs. Andrade
          


          
          Apr. 23, 2022",U-DEC,3,5:00
Philipe Lins,loss,Tanner Boser,"0
","6
","0
","0
","UFC Fight Night: Poirier vs. Hooker
          


          
          Jun. 27, 2020","KO/TKO
",1,2:41
Philipe Lins,loss,Andrei Arlovski,"0
","41
","0
","0
","UFC Fight Night: Smith vs. Teixeira
          


          
          May. 13, 2020",U-DEC,3,5:00
Tainara Lisboa,loss,Luana Santos,"0
","6
","0
","0
","UFC Fight Night: Burns vs. Morales
          


          
          May. 17, 2025","SUB
",2,4:59
Tainara Lisboa,win,Ravena Oliveira,"0
","18
","3
","0
","UFC Fight Night: Yusuff vs. Barboza
          


          
          Oct. 14, 2023",U-DEC,3,5:00
Tainara Lisboa,win,Jessica-Rose Clark,"0
","42
","1
","1
","UFC Fight Night: Rozenstruik vs. Almeida
          


          
          May. 13, 2023","SUB
",3,4:20
Dean Lister,loss,Yushin Okami,"0
","6
","0
","0
","UFC 92: The Ultimate 2008
          


          
          Dec. 27, 2008",U-DEC,3,5:00
Dean Lister,win,Jeremy Horn,"0
","6
","1
","1
","The Ultimate Fighter: Team Rampage vs Team Forrest Finale
          


          
          Jun. 21, 2008","SUB
",1,3:52
Dean Lister,win,Jordan Radev,"0
","31
","2
","0
","UFC 79: Nemesis
          


          
          Dec. 29, 2007",U-DEC,3,5:00
Dean Lister,loss,Nate Marquardt,"0
","18
","0
","0
","UFC Fight Night: Evans vs Salmon
          


          
          Jan. 25, 2007",U-DEC,3,5:00
Dean Lister,win,Yuki Sasaki,"0
","24
","5
","2
","UFC Fight Night 6
          


          
          Aug. 17, 2006",U-DEC,3,5:00
Dean Lister,win,Alessio Sakara,"0
","1
","0
","2
","UFC 60: Hughes vs Gracie
          


          
          May. 27, 2006","SUB
",1,2:20
Dean Lister,loss,Ricardo Arona,"0
","16
","2
","2
","PRIDE Total Elimination 2005
          


          
          Apr. 23, 2005",U-DEC,3,5:00
Dean Lister,win,Akira Shoji,"0
","6
","0
","1
","PRIDE Bushido 6
          


          
          Apr. 03, 2005","SUB
",1,3:13
Dean Lister,loss,Amar Suloev,"0
","24
","1
","0
","PRIDE Bushido 4
          


          
          Jul. 19, 2004",S-DEC,2,5:00
Wesley Little,loss,Jacob Noe,"--
","--
","--
","--
","Strikeforce Challengers 12
          


          
          Nov. 19, 2010",U-DEC,3,5:00
James Llontop,loss,Mauricio Ruffy,"0
","90
","0
","0
","UFC 309: Jones vs. Miocic
          


          
          Nov. 16, 2024",U-DEC,3,5:00
James Llontop,loss,Viacheslav Borshchev,"0
","93
","0
","0
","UFC Fight Night: Cannonier vs. Borralho
          


          
          Aug. 24, 2024",S-DEC,3,5:00
James Llontop,loss,Chris Padilla,"0
","19
","0
","0
","UFC Fight Night: Nicolau vs. Perez
          


          
          Apr. 27, 2024","SUB
",1,4:33
James Llontop,win,Malik Lewis,"2
","74
","0
","0
","DWCS 7.6
          


          
          Sep. 12, 2023",U-DEC,3,5:00
Abner Lloveras,loss,Chris Gruetzemacher,"0
","94
","2
","0
","The Ultimate Fighter: Team McGregor vs. Team Faber Finale
          


          
          Dec. 11, 2015",U-DEC,3,5:00
Brian Lo-A-Njoe,loss,Shinya Aoki,"0
","6
","0
","0
","PRIDE 34: Kamikaze
          


          
          Apr. 08, 2007","SUB
",1,1:33
John Lober,loss,Frank Shamrock,"0
","4
","3
","1
","UFC - Ultimate Brazil
          



          
          Oct. 16, 1998","SUB
",1,7:40
Artem Lobov,loss,Michael Johnson,"0
","67
","0
","0
","UFC Fight Night: Oezdemir vs. Smith
          


          
          Oct. 27, 2018",U-DEC,3,5:00
Artem Lobov,loss,Andre Fili,"0
","55
","0
","0
","UFC Fight Night: Cerrone vs. Till
          


          
          Oct. 21, 2017",U-DEC,3,5:00
Artem Lobov,loss,Cub Swanson,"0
","123
","2
","0
","UFC Fight Night: Swanson vs. Lobov
          


          
          Apr. 22, 2017",U-DEC,5,5:00
Artem Lobov,win,Teruto Ishihara,"0
","82
","1
","0
","UFC Fight Night: Mousasi vs. Hall 2
          


          
          Nov. 19, 2016",U-DEC,3,5:00
Artem Lobov,win,Chris Avila,"0
","53
","0
","0
","UFC 202: Diaz vs. McGregor 2
          


          
          Aug. 20, 2016",U-DEC,3,5:00
Artem Lobov,loss,Alex White,"0
","23
","0
","0
","UFC Fight Night: Hendricks vs Thompson
          


          
          Feb. 06, 2016",U-DEC,3,5:00
Artem Lobov,loss,Ryan Hall,"0
","2
","0
","0
","The Ultimate Fighter: Team McGregor vs. Team Faber Finale
          



          
          Dec. 11, 2015",U-DEC,3,5:00
Dylan Lockard,loss,TJ Brown,"1
","17
","2
","1
","DWCS 3.10
          


          
          Aug. 27, 2019","SUB
",3,2:59
Ryan Loder,loss,Azamat Bekoev,"0
","13
","0
","0
","UFC Fight Night: Sandhagen vs. Figueiredo
          


          
          May. 03, 2025","KO/TKO
",1,2:44
Ryan Loder,win,Robert Valentin,"0
","42
","1
","1
","UFC Fight Night: Cannonier vs. Borralho
          


          
          Aug. 24, 2024","KO/TKO
",2,1:49
Christian Lohsen,loss,JJ Okanovich,"0
","79
","0
","2
","DWCS 3.5
          


          
          Jul. 23, 2019",U-DEC,3,5:00
David Loiseau,loss,Mario Miranda,"0
","2
","0
","0
","UFC 115: Liddell vs Franklin
          


          
          Jun. 12, 2010","KO/TKO
",2,4:07
David Loiseau,loss,Ed Herman,"0
","6
","0
","0
","UFC 97: Redemption
          


          
          Apr. 18, 2009",U-DEC,3,5:00
David Loiseau,loss,Mike Swick,"0
","36
","1
","0
","UFC 63: Hughes vs Penn
          


          
          Sep. 23, 2006",U-DEC,3,5:00
David Loiseau,loss,Rich Franklin,"1
","21
","1
","0
","UFC 58: USA vs Canada
          



          
          Mar. 04, 2006",U-DEC,5,5:00
David Loiseau,win,Evan Tanner,"0
","13
","0
","0
","UFC Fight Night 2
          


          
          Oct. 03, 2005",KO/TKO,2,4:15
David Loiseau,win,Charles McCarthy,"1
","20
","0
","0
","UFC 53: Heavy Hitters
          


          
          Jun. 04, 2005","KO/TKO
",2,2:10
David Loiseau,win,Gideon Ray,"2
","17
","0
","1
","UFC 51: Super Saturday
          


          
          Feb. 05, 2005",KO/TKO,1,5:00
David Loiseau,loss,Jorge Rivera,"0
","35
","0
","0
","UFC 44: Undisputed
          


          
          Sep. 26, 2003",U-DEC,3,5:00
David Loiseau,win,Mark Weir,"0
","16
","1
","0
","UFC 42: Sudden Impact
          


          
          Apr. 25, 2003","KO/TKO
",1,3:55
Hector Lombard,loss,Thales Leites,"0
","46
","0
","0
","UFC Fight Night: Marreta vs. Anders
          


          
          Sep. 22, 2018",U-DEC,3,5:00
Hector Lombard,loss,CB Dollaway,"1
","19
","0
","0
","UFC 222: Cyborg vs. Kunitskaya
          


          
          Mar. 03, 2018",DQ,1,5:00
Hector Lombard,loss,Anthony Smith,"0
","65
","1
","0
","UFC Fight Night: Rockhold vs. Branch
          


          
          Sep. 16, 2017","KO/TKO
",3,2:33
Hector Lombard,loss,Johny Hendricks,"0
","37
","2
","0
","UFC Fight Night: Lewis vs. Browne
          


          
          Feb. 19, 2017",U-DEC,3,5:00
Hector Lombard,loss,Dan Henderson,"1
","23
","2
","2
","UFC 199: Rockhold vs. Bisping 2
          


          
          Jun. 04, 2016","KO/TKO
",2,1:27
Hector Lombard,loss,Neil Magny,"2
","60
","1
","0
","UFC Fight Night: Hunt vs Mir
          


          
          Mar. 19, 2016","KO/TKO
",3,0:46
Hector Lombard,nc,Joshua Burkman,"0
","53
","2
","0
","UFC 182: Jones vs Cormier
          


          
          Jan. 03, 2015",Overturned,3,5:00
Hector Lombard,win,Jake Shields,"0
","27
","5
","0
","UFC 171: Hendricks vs Lawler
          


          
          Mar. 15, 2014",U-DEC,3,5:00
Hector Lombard,win,Nate Marquardt,"1
","10
","0
","0
","UFC 166: Velasquez vs Dos Santos 3
          


          
          Oct. 19, 2013","KO/TKO
",1,1:48
Hector Lombard,loss,Yushin Okami,"0
","45
","0
","0
","UFC on FUEL TV: Silva vs. Stann
          


          
          Mar. 02, 2013",S-DEC,3,5:00
Hector Lombard,win,Rousimar Palhares,"2
","24
","0
","0
","UFC on FX: Sotiropoulos vs Pearson
          


          
          Dec. 14, 2012","KO/TKO
",1,3:38
Hector Lombard,loss,Tim Boetsch,"0
","26
","2
","0
","UFC 149: Faber vs Barao
          


          
          Jul. 21, 2012",S-DEC,3,5:00
Hector Lombard,loss,Gegard Mousasi,"0
","16
","1
","2
","PRIDE Bushido 13
          


          
          Nov. 05, 2006",U-DEC,2,5:00
Hector Lombard,loss,Akihiro Gono,"0
","33
","2
","1
","PRIDE Bushido 11
          


          
          Jun. 04, 2006",U-DEC,2,5:00
Michael Lombardo,win,Korey Kuppe,"0
","20
","4
","0
","DWCS 4.7
          


          
          Sep. 15, 2020",U-DEC,3,5:00
Michael Lombardo,loss,Kyle Daukaus,"0
","24
","1
","0
","DWCS 3.2
          


          
          Jun. 25, 2019",U-DEC,3,5:00
Rocky Long,loss,Vinicius Magalhaes,"--
","--
","--
","--
","Strikeforce - Houston
          


          
          Aug. 21, 2010",U-DEC,3,3:00
Thomas Longacre,win,Travis Calanoc,"--
","--
","--
","--
","Strikeforce Challengers 3
          


          
          Sep. 25, 2009",U-DEC,3,5:00
Loma Lookboonmee,win,Istela Nunes,"0
","32
","3
","0
","UFC Fight Night: Emmett vs. Murphy
          


          
          Apr. 05, 2025",U-DEC,3,5:00
Loma Lookboonmee,win,Bruna Brasil,"0
","58
","1
","0
","UFC Fight Night: Hermansson vs. Pyfer
          


          
          Feb. 10, 2024",U-DEC,3,5:00
Loma Lookboonmee,win,Elise Reed,"0
","17
","2
","1
","UFC 284: Makhachev vs. Volkanovski
          


          
          Feb. 11, 2023","SUB
",2,0:44
Loma Lookboonmee,win,Denise Gomes,"0
","48
","4
","0
","UFC Fight Night: Sandhagen vs. Song
          


          
          Sep. 17, 2022",U-DEC,3,5:00
Loma Lookboonmee,loss,Loopy Godinez,"0
","15
","1
","0
","UFC Fight Night: Vieira vs. Tate
          


          
          Nov. 20, 2021",U-DEC,3,5:00
Loma Lookboonmee,win,Sam Hughes,"0
","84
","4
","0
","UFC Fight Night: Reyes vs. Prochazka
          


          
          May. 01, 2021",U-DEC,3,5:00
Loma Lookboonmee,win,Jinh Yu Frey,"0
","80
","0
","0
","UFC Fight Night: Holm vs. Aldana
          


          
          Oct. 03, 2020",U-DEC,3,5:00
Loma Lookboonmee,loss,Angela Hill,"0
","53
","1
","0
","UFC Fight Night: Felder vs. Hooker
          


          
          Feb. 22, 2020",U-DEC,3,5:00
Loma Lookboonmee,win,Aleksandra Albu,"0
","99
","1
","0
","UFC Fight Night: Maia vs. Askren
          


          
          Oct. 26, 2019",S-DEC,3,5:00
Ange Loosa,loss,Gabriel Bonfim,"0
","52
","4
","0
","UFC Fight Night: Namajunas vs. Cortez
          


          
          Jul. 13, 2024",U-DEC,3,5:00
Ange Loosa,nc,Bryan Battle,"0
","23
","0
","0
","UFC Fight Night: Tuivasa vs. Tybura
          


          
          Mar. 16, 2024",CNC,2,1:00
Ange Loosa,win,Rhys McKee,"0
","98
","6
","0
","UFC Fight Night: Gane vs. Spivac
          


          
          Sep. 02, 2023",U-DEC,3,5:00
Ange Loosa,win,AJ Fletcher,"0
","129
","2
","0
","UFC 278: Usman vs. Edwards
          


          
          Aug. 20, 2022",U-DEC,3,5:00
Ange Loosa,loss,Mounir Lazzez,"0
","88
","0
","0
","UFC Fight Night: Luque vs. Muhammad
          


          
          Apr. 16, 2022",U-DEC,3,5:00
Ange Loosa,loss,Jack Della Maddalena,"0
","64
","1
","1
","DWCS 5.3
          


          
          Sep. 14, 2021",U-DEC,3,5:00
Lucas Lopes,loss,Cortez Coleman,"--
","--
","--
","--
","Strikeforce - Henderson vs. Babalu
          


          
          Dec. 04, 2010","SUB
",1,2:04
Lucas Lopes,win,Dominic Brown,"--
","--
","--
","--
","Strikeforce Challengers 5
          


          
          Nov. 20, 2009",KO/TKO,2,0:45
Lucas Lopes,win,Scott Ventimiglia,"--
","--
","--
","--
","Strikeforce - Lawler vs. Shields
          


          
          Jun. 06, 2009",DQ,1,3:26
Dileno Lopes,loss,Anthony Birchak,"0
","25
","2
","0
","UFC Fight Night: Dos Anjos vs. Alvarez
          


          
          Jul. 07, 2016",S-DEC,3,5:00
Dileno Lopes,loss,Reginaldo Vieira,"0
","46
","3
","3
","UFC 190: Rousey vs Correia
          



          
          Aug. 01, 2015",U-DEC,3,5:00
